epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,589.036,0.78517,3.25748,1.1334,0.50725,0.22448,0.32003,0.26243,0.75356,3.62249,1.0511,0.000330128,0.000330128,0.000330128
2,1201.38,0.84586,2.60925,1.13516,0.24142,0.5056,0.36871,0.29702,0.78564,2.98332,1.05148,0.000581358,0.000581358,0.000581358
3,1655.9,0.8582,2.45118,1.1279,0.28228,0.72857,0.42346,0.34579,0.73742,2.868,1.09481,0.000750088,0.000750088,0.000750088
4,2166.91,0.82171,2.33323,1.11504,0.4846,0.3798,0.48134,0.3757,0.79016,2.65228,1.19119,0.00062875,0.00062875,0.00062875
5,2540.3,0.76557,2.16242,1.09512,0.35955,0.5223,0.47072,0.38323,0.72728,2.63289,1.09053,0.000505,0.000505,0.000505
6,3037.63,0.69319,1.99694,1.04169,0.4215,0.63306,0.55716,0.46073,0.71362,2.23802,1.05646,0.00038125,0.00038125,0.00038125
7,3602.15,0.66225,1.86247,1.04042,0.62709,0.58478,0.65527,0.57353,0.58772,2.04225,0.97363,0.0002575,0.0002575,0.0002575
8,4173.95,0.6528,1.82094,1.03403,0.53612,0.62316,0.64838,0.55019,0.63018,1.99531,0.98878,0.00013375,0.00013375,0.00013375
